"","city","id","type","squareMeters","rooms","floorCount","buildYear","centreDistance","poiCount","schoolDistance","clinicDistance","postOfficeDistance","kindergartenDistance","restaurantDistance","collegeDistance","pharmacyDistance","hasParkingSpace","hasBalcony","hasElevator","hasSecurity","hasStorageRoom","price","population"
"11523","Wrocław","2382506b2e24af8daa1418bd1e5c28da","Blok mieszkalny",59,3,2,2013,4.88,3,0.514,3.292,1.36,0.501,0.211,0.985,0.663,"no","yes","no","yes","no",999999,674079
"11524","Wrocław","d0a91ec0e27abc3ceded76bd37dd61a2","Blok mieszkalny",45.07,2,2,2018,6.87,12,0.301,1.529,0.308,0.29,0.218,0.703,0.283,"yes","no","no","no","no",599000,674079
"11525","Wrocław","74c17e44b7febf95ba3f869349ca1194","Blok mieszkalny",51.5,3,4,2023,6.35,9,0.996,3.592,1.543,0.123,0.194,3.262,0.154,"no","yes","yes","no","no",587100,674079
"11526","Wrocław","2781a9c8e4e2a598f7b0747ee1787a2f","Blok mieszkalny",84.5,4,3,2010,5.97,23,1.17,1.031,0.473,0.076,0.031,2.91,0.094,"no","yes","no","no","no",750000,674079
"11527","Wrocław","0d6ec7381d4ca9bd38f3b8a566c81ba7","Blok mieszkalny",60,4,10,1985,1.88,29,0.092,0.275,0.425,0.253,0.384,0.902,0.216,"no","yes","yes","yes","yes",649900,674079
"11528","Wrocław","7132c8485adf8011ebeb1bc6193963da","Blok mieszkalny",40,2,2,2017,1.55,32,0.122,0.475,0.626,0.08,0.285,0.19,0.185,"yes","yes","yes","no","no",620000,674079
"11529","Wrocław","d7075fc7ca7100f1f74dc113b955b572","Apartamentowiec",92,4,6,2000,1.89,29,0.145,1.195,0.412,0.088,0.248,0.993,0.155,"yes","yes","yes","no","yes",950000,674079
"11530","Wrocław","eae153ac18481f647308ae784b427f7e","Apartamentowiec",38.79,2,5,2023,6.05,1,1.406,2.003,1.151,0.84,0.494,3.14,0.831,"no","yes","yes","no","no",461380,674079
"11531","Wrocław","c9aa3498ce5224a79ce225f3e5924d55","Apartamentowiec",49.44,3,5,2023,6.05,1,1.406,2.003,1.151,0.84,0.494,3.14,0.831,"no","yes","yes","no","no",546556,674079
"11532","Wrocław","637fdea6731eeede4bab8012b31c3af3","Kamienica",42.4,2,5,1930,2.08,22,0.081,0.243,0.559,0.092,0.302,1.144,0.238,"no","no","no","no","yes",529000,674079
"11533","Wrocław","b36519fdd1a01481a576da22b7043f8a","Kamienica",110,5,4,1905,1.03,45,0.077,0.497,0.107,0.244,0.037,0.14,0.067,"no","no","no","no","yes",894374,674079
"11534","Wrocław","c8a28fd04078fa1935b5bc3d9edf1511","Kamienica",25.49,1,3,1900,1.55,32,0.122,0.475,0.626,0.08,0.285,0.19,0.185,"yes","no","yes","yes","no",384899,674079
"11535","Wrocław","c779d74969a42b5939d8195d62c2879f","Blok mieszkalny",54.65,4,4,1965,0.67,69,0.136,0.262,0.156,0.193,0.048,0.415,0.146,"no","no","no","no","yes",599000,674079
"11536","Wrocław","ded6cbc4159132e3cbdcc39e1d8ee2c4","Kamienica",54.5,3,4,1903,2.29,21,0.321,0.212,0.375,0.281,0.445,1.194,0.184,"yes","no","no","no","yes",549900,674079
"11537","Wrocław","f28bc84f44f6ef59e360ca4288eafd6a","Kamienica",72,3,2,1925,5.03,8,0.447,2.273,0.378,0.46,0.158,1.959,0.129,"yes","no","no","no","yes",850000,674079
"11538","Wrocław","9e61200dd86c6193635e7cb6f277b359","Blok mieszkalny",57.47,2,5,2016,4.9,1,1.466,0.646,0.832,0.625,1.343,2.336,0.104,"no","yes","yes","no","no",590000,674079
"11539","Wrocław","2485ab5c6eaf99f7d5d8414852c885e2","Blok mieszkalny",38.47,2,4,2023,6.01,0,1.361,1.977,1.195,0.81,0.523,3.142,0.877,"no","yes","no","no","no",5e+05,674079
"11540","Wrocław","936345b9c227a8a5e6624e413302de87","Blok mieszkalny",37.8,2,3,2022,6.01,0,1.361,1.977,1.195,0.81,0.523,3.142,0.877,"no","yes","yes","no","no",510000,674079
"11541","Wrocław","e62fbe1ce8f4abb61296089c9ec1fe61","Blok mieszkalny",38.93,2,4,2021,6.01,0,1.361,1.977,1.195,0.81,0.523,3.142,0.877,"yes","yes","yes","no","yes",528000,674079
